2024 02 16, 02:27:25, 15.5
2024 02 16, 02:27:27, 15.5
2024 02 16, 02:27:29, 15.562
2024 02 16, 02:27:31, 15.5
2024 02 16, 02:27:33, 15.562
2024 02 16, 02:27:35, 15.562
2024 02 16, 02:27:36, 15.562
2024 02 16, 02:27:38, 15.562
2024 02 16, 02:27:40, 15.562
2024 02 16, 02:27:42, 15.562
2024 02 16, 02:27:44, 15.75
2024 02 16, 02:27:46, 16.312
2024 02 16, 02:27:48, 17.0
2024 02 16, 02:27:50, 18.0
2024 02 16, 02:27:52, 18.875
2024 02 16, 02:27:54, 19.75
2024 02 16, 02:27:56, 20.375
2024 02 16, 02:27:58, 20.875
2024 02 16, 02:28:00, 21.312
2024 02 16, 02:28:01, 21.687
2024 02 16, 02:28:03, 21.937
2024 02 16, 02:28:05, 22.187
2024 02 16, 02:28:07, 22.375
2024 02 16, 02:28:09, 22.562
2024 02 16, 02:28:11, 22.75
2024 02 16, 02:28:13, 22.875
2024 02 16, 02:28:15, 23.0
2024 02 16, 02:28:17, 23.062
2024 02 16, 02:28:19, 23.187
2024 02 16, 02:28:21, 23.187
2024 02 16, 02:28:23, 23.375
2024 02 16, 02:28:24, 23.5
2024 02 16, 02:28:26, 23.187
2024 02 16, 02:28:28, 23.187
2024 02 16, 02:28:30, 24.375
2024 02 16, 02:28:32, 25.562
2024 02 16, 02:28:34, 26.5
2024 02 16, 02:28:36, 27.187
2024 02 16, 02:28:38, 27.812
2024 02 16, 02:28:40, 28.25
2024 02 16, 02:28:42, 28.625
2024 02 16, 02:28:44, 28.937
2024 02 16, 02:28:46, 29.25
2024 02 16, 02:28:48, 29.5
2024 02 16, 02:28:49, 29.75
2024 02 16, 02:28:51, 29.937
2024 02 16, 02:28:53, 30.125
2024 02 16, 02:28:55, 30.312
2024 02 16, 02:28:57, 30.5
2024 02 16, 02:28:59, 30.625
2024 02 16, 02:29:01, 30.812
2024 02 16, 02:29:03, 30.937
2024 02 16, 02:29:05, 31.062
2024 02 16, 02:29:07, 31.187
2024 02 16, 02:29:09, 31.312
2024 02 16, 02:29:11, 31.437
2024 02 16, 02:29:12, 31.5
2024 02 16, 02:29:14, 31.625
